account_id,n_records_p1,n_records_p2,total_records,days_active,lifecycle_days,first_date,last_date,level_start,level_end,level_growth,level_growth_rate,current_level_max,total_pay,is_paying,first_pay_time,first_pay_level,vip_level_max,is_in_league,league_name,country,platform,channel_id,media_source,food_get,food_reduce,wood_get,wood_reduce,stone_get,stone_reduce,coins_get,coins_reduce,diamond_get,diamond_reduce,diamond_median,total_get,total_reduce,duration_times,n_event_types
180819,83,131,214,1,1,2026-02-16,2026-02-16,0,2,2,2.0,2,0.0,0,,,1,0,,China,1,Google,,64800.0,160.0,50400.0,160.0,21500.0,0.0,0.0,0.0,300.0,0.0,200.0,149062.0,7721.0,240.0,18
1000164409,1043,2552,3595,4,13,2026-02-17,2026-03-01,0,5,5,1.25,5,0.0,0,,,1,0,,Indonesia,1,Google,Facebook Ads,1204825.0,1104825.0,1188113.0,1088113.0,515556.0,515556.0,0.0,0.0,700.0,0.0,600.0,4237368.0,2926452.0,3900.0,50
1002603880,1669,2842,4511,17,33,2026-02-17,2026-03-21,0,6,6,0.35294117647058826,6,0.0,0,,,1,1,bacnam3,Romania,2,AppStore,Facebook Ads,4281538.0,407125.0,4147602.0,396275.0,2009956.0,118920.0,369400.0,4750.0,1465.0,0.0,600.0,15432574.0,1185263.0,7380.0,59
1003542927,8,93,101,1,1,2026-02-17,2026-02-17,0,0,0,0.0,0,0.0,0,,,1,0,,Brazil,1,Google,,2500.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,5554.0,0.0,60.0,23
1004864636,91,549,640,1,1,2026-02-16,2026-02-16,0,2,2,2.0,2,0.0,0,,,1,0,,Philippines,1,Google,,64800.0,170.0,50400.0,170.0,21500.0,0.0,0.0,0.0,300.0,0.0,100.0,149112.0,10241.0,480.0,30
1013843204,94,614,708,2,2,2026-02-17,2026-02-18,0,2,2,1.0,2,0.0,0,,,1,0,,Poland,1,Google,Facebook Ads,66300.0,160.0,51900.0,160.0,23000.0,0.0,0.0,0.0,300.0,0.0,225.0,155362.0,10121.0,780.0,31
1017195647,51,109,160,1,1,2026-02-19,2026-02-19,0,2,2,2.0,2,0.0,0,,,1,0,,Portugal,2,AppStore,,49800.0,150.0,35400.0,150.0,11200.0,0.0,0.0,0.0,200.0,0.0,100.0,105405.0,1800.0,300.0,17
1017332366,72,525,597,1,1,2026-02-16,2026-02-16,0,2,2,2.0,2,0.0,0,,,1,0,,Montenegro,1,Google,,60800.0,160.0,46400.0,160.0,18800.0,0.0,0.0,0.0,300.0,0.0,100.0,136558.0,7720.0,420.0,31
1018560982,911,2253,3164,6,9,2026-02-19,2026-02-27,0,5,5,0.8333333333333334,5,0.0,0,,,1,1,INDOMIE,Mexico,1,Google,Facebook Ads,852789.0,843989.0,858366.0,849566.0,477560.0,477560.0,0.0,0.0,700.0,0.0,600.0,2529051.0,2359067.0,3720.0,55
1019267083,95,152,247,1,1,2026-02-19,2026-02-19,0,2,2,2.0,2,0.0,0,,,1,0,,Viet Nam,2,AppStore,,64800.0,350.0,50400.0,350.0,21500.0,0.0,0.0,0.0,300.0,0.0,150.0,149212.0,10701.0,480.0,18
1020256293,1125,2278,3403,4,4,2026-02-16,2026-02-19,0,5,5,1.25,5,0.0,0,,,1,0,,Japan,2,AppStore,organic,1156803.0,1056803.0,1154406.0,1054406.0,561440.0,561440.0,9000.0,4750.0,1030.0,54.0,785.0,3297410.0,2884252.0,22920.0,56
1022887763,90,144,234,1,1,2026-02-16,2026-02-16,0,2,2,2.0,2,0.0,0,,,1,0,,Viet Nam,2,AppStore,,64800.0,170.0,50400.0,170.0,21500.0,0.0,0.0,0.0,300.0,0.0,100.0,149116.0,7741.0,840.0,19
1023943728,930,1634,2564,9,18,2026-02-18,2026-03-07,0,5,5,0.5555555555555556,5,0.0,0,,,1,1,FARAÓs,Brazil,2,AppStore,Facebook Ads,1066028.0,716320.0,1022286.0,689070.0,530336.0,530336.0,12000.0,0.0,920.0,126.0,300.0,2922756.0,2098564.0,4500.0,56
1024606223,220,288,508,2,26,2026-02-16,2026-03-13,0,3,3,1.5,3,0.0,0,,,1,1,INJUSTIÇABR,Spain,2,AppStore,,61162.0,37210.0,46558.0,6210.0,18800.0,0.0,0.0,0.0,300.0,0.0,300.0,161225.0,72121.0,780.0,25
1024932779,80,538,618,1,1,2026-02-16,2026-02-16,0,2,2,2.0,2,0.0,0,,,1,0,,Brazil,1,Google,,63300.0,160.0,48900.0,160.0,20300.0,0.0,0.0,0.0,300.0,0.0,100.0,144862.0,7721.0,720.0,30
1025425617,58,470,528,1,1,2026-02-17,2026-02-17,0,2,2,2.0,2,0.0,0,,,1,0,,Indonesia,1,Google,,51300.0,160.0,36900.0,160.0,11200.0,0.0,0.0,0.0,300.0,0.0,100.0,109955.0,1820.0,420.0,29
1025994754,70,519,589,1,1,2026-02-16,2026-02-16,0,2,2,2.0,2,0.0,0,,,1,0,,Brazil,1,Google,,60800.0,160.0,46400.0,160.0,18800.0,0.0,0.0,0.0,300.0,0.0,100.0,136556.0,7720.0,540.0,30
1027650382,354,1168,1522,2,2,2026-02-16,2026-02-17,0,3,3,1.5,3,0.0,0,,,1,0,,Indonesia,1,Google,,153188.0,11290.0,141395.0,11290.0,85100.0,0.0,9400.0,0.0,400.0,0.0,300.0,484133.0,91400.0,1680.0,40
1027831716,648,1342,1990,5,8,2026-02-17,2026-02-24,0,4,4,0.8,4,0.0,0,,,1,0,,Viet Nam,2,AppStore,organic,830625.0,20620.0,799551.0,20620.0,433848.0,0.0,0.0,0.0,900.0,0.0,525.0,2273998.0,134973.0,2580.0,51
1031686127,113,162,275,1,1,2026-02-19,2026-02-19,0,2,2,2.0,2,0.0,0,,,1,0,,Thailand,2,AppStore,,79216.0,170.0,64400.0,170.0,26600.0,0.0,0.0,0.0,300.0,0.0,225.0,238830.0,10341.0,660.0,18
1031968410,90,552,642,1,1,2026-02-16,2026-02-16,0,2,2,2.0,2,0.0,0,,,1,0,,Spain,1,Google,,67800.0,160.0,53400.0,160.0,24200.0,0.0,0.0,0.0,300.0,0.0,100.0,159562.0,7721.0,480.0,31
1033226443,55,459,514,1,1,2026-02-18,2026-02-18,0,2,2,2.0,2,0.0,0,,,1,0,,Indonesia,1,Google,,51300.0,150.0,36900.0,150.0,11200.0,0.0,0.0,0.0,300.0,0.0,100.0,109905.0,1800.0,420.0,32
1033422986,132,710,842,1,1,2026-02-16,2026-02-16,0,2,2,2.0,2,0.0,0,,,1,0,,Thailand,1,Google,,89800.0,190.0,79659.0,190.0,34100.0,0.0,0.0,0.0,300.0,0.0,100.0,262665.0,10281.0,900.0,34
1033703802,9,116,125,1,1,2026-02-16,2026-02-16,0,0,0,0.0,0,0.0,0,,,1,0,,Viet Nam,1,Google,,2500.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,6154.0,0.0,120.0,23
1034821728,237,929,1166,2,1,2026-02-17,2026-02-17,0,3,3,1.5,3,0.0,0,,,1,0,,Thailand,1,Google,organic,132800.0,5490.0,122170.0,12490.0,64600.0,0.0,0.0,0.0,300.0,0.0,300.0,390782.0,32781.0,1140.0,40
1036997892,245,650,895,3,9,2026-02-16,2026-02-24,0,3,3,1.0,3,0.0,0,,,1,1,piratek,Thailand,2,AppStore,Facebook Ads,347172.0,16810.0,288141.0,1810.0,37100.0,0.0,0.0,0.0,800.0,0.0,300.0,1687485.0,40825.0,1800.0,39
1039195759,3174,7812,10986,15,62,2026-02-16,2026-04-18,0,6,6,0.4,6,0.0,0,,,1,1,AE3Miền,Philippines,1,Google,Facebook Ads,10059886.0,3212727.0,9861165.0,3218027.0,6445597.0,2250247.0,2898133.0,56600.0,2550.0,210.0,1725.0,34955631.0,9436989.0,30360.0,77
1039741121,326,1087,1413,2,1,2026-02-18,2026-02-18,0,3,3,1.5,3,0.0,0,,,1,1,Morgans,Malaysia,1,Google,Facebook Ads,189722.0,14185.0,177814.0,7435.0,84100.0,0.0,0.0,0.0,500.0,0.0,300.0,547579.0,53621.0,1980.0,40
1042649422,11179,28546,39725,66,29,2026-02-16,2026-03-16,0,12,12,0.18181818181818182,12,0.0,0,,,3,1,DragonEmpire,Viet Nam,1,Google,organic,58894713.0,54176085.0,59939948.0,57316545.0,45318779.0,41145002.0,17177371.0,17177371.0,14597.0,13271.0,2300.0,199451237.0,182937545.0,85920.0,92
1044166248,778,2100,2878,5,4,2026-02-18,2026-02-21,0,4,4,0.8,4,0.0,0,,,1,0,,Brazil,1,Google,Facebook Ads,1362972.0,46100.0,1285983.0,46100.0,504040.0,0.0,0.0,0.0,600.0,0.0,300.0,4443125.0,188810.0,3240.0,50
1046634112,124,638,762,1,1,2026-02-17,2026-02-17,0,2,2,2.0,2,0.0,0,,,1,0,,Philippines,1,Google,,88300.0,220.0,76515.0,220.0,32900.0,0.0,0.0,0.0,300.0,0.0,200.0,256163.0,7841.0,780.0,31
1048450570,424,913,1337,2,1,2026-02-18,2026-02-18,0,3,3,1.5,3,0.0,0,,,1,0,,Brazil,2,AppStore,Facebook Ads,228488.0,13225.0,209852.0,9475.0,96700.0,0.0,0.0,0.0,600.0,0.0,300.0,664750.0,91502.0,1740.0,40
1051408466,2165,4944,7109,6,3,2026-02-17,2026-02-19,0,8,8,1.3333333333333333,8,0.0,0,,,2,1,Reddragonskings,Germany,1,Google,Facebook Ads,3615599.0,3486855.0,3507236.0,3476105.0,2338910.0,2338910.0,340540.0,121760.0,3040.0,1937.0,701.5,11895632.0,11333326.0,11340.0,67
1052751928,9,128,137,1,1,2026-02-17,2026-02-17,0,0,0,0.0,0,0.0,0,,,1,0,,Serbia,1,Google,,2500.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,6154.0,0.0,60.0,23
1055768010,108,573,681,1,1,2026-02-16,2026-02-16,0,2,2,2.0,2,0.0,0,,,1,0,,Thailand,1,Google,,77300.0,440.0,62900.0,440.0,25400.0,0.0,0.0,0.0,300.0,0.0,100.0,234413.0,8282.0,660.0,31
1057985651,752,1916,2668,8,17,2026-02-18,2026-03-06,0,4,4,0.5,4,0.0,0,,,1,1,GYPSY,Philippines,2,AppStore,organic,699123.0,690323.0,683156.0,674356.0,427640.0,427640.0,0.0,0.0,640.0,3.0,548.5,1998934.0,1948434.0,3720.0,51
1058120214,55,446,501,2,5,2026-02-18,2026-02-22,0,2,2,1.0,2,0.0,0,,,1,0,,Canada,2,AppStore,organic,51300.0,150.0,36900.0,150.0,11200.0,0.0,0.0,0.0,300.0,0.0,100.0,109905.0,1800.0,420.0,30
1060344496,4924,9803,14727,10,25,2026-02-19,2026-03-15,0,10,10,1.0,10,0.0,0,,,2,0,,Brazil,1,Google,Facebook Ads,18758116.0,10987145.0,18813603.0,10937235.0,12541589.0,8065470.0,4963322.0,2653139.0,2525.0,1918.0,222.0,68474182.0,45193402.0,21900.0,75
1061129095,83,566,649,1,1,2026-02-18,2026-02-18,0,2,2,2.0,2,0.0,0,,,1,0,,Brazil,1,Google,Facebook Ads,64800.0,160.0,50400.0,160.0,21500.0,0.0,0.0,0.0,300.0,0.0,200.0,149062.0,7721.0,780.0,32
1065857417,182,843,1025,1,1,2026-02-19,2026-02-19,0,2,2,2.0,2,0.0,0,,,1,0,,Brazil,1,Google,,101440.0,560.0,88066.0,560.0,41700.0,0.0,0.0,0.0,300.0,0.0,300.0,304439.0,30722.0,1620.0,37
1065879331,1309,3033,4342,11,8,2026-02-19,2026-02-26,0,5,5,0.45454545454545453,5,0.0,0,,,1,0,,Brazil,1,Google,Facebook Ads,1606946.0,440655.0,1771714.0,426905.0,975400.0,12000.0,24000.0,0.0,840.0,806.0,200.0,4802018.0,1139036.0,5160.0,63
1069591637,28,336,364,1,1,2026-02-17,2026-02-17,0,0,0,0.0,0,0.0,0,,,1,0,,Philippines,1,Google,,34300.0,0.0,19900.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,100.0,58704.0,1500.0,300.0,29
1071798695,212,921,1133,2,3,2026-02-17,2026-02-19,0,3,3,1.5,3,0.0,0,,,1,0,,Brazil,1,Google,Facebook Ads,129800.0,1670.0,117514.0,1670.0,62200.0,0.0,0.0,0.0,300.0,0.0,200.0,378977.0,25541.0,1140.0,40
1072910519,968,2496,3464,9,13,2026-02-17,2026-03-01,0,7,7,0.7777777777777778,7,0.0,0,,,1,0,,Viet Nam,1,Google,Facebook Ads,923419.0,914619.0,914594.0,905794.0,525156.0,525156.0,26000.0,0.0,710.0,0.0,710.0,2736748.0,2553520.0,3180.0,54
1072974837,10,61,71,1,1,2026-02-16,2026-02-16,0,0,0,0.0,0,0.0,0,,,1,0,,Italy,2,AppStore,,2500.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,6954.0,0.0,279.0,12
1073326826,55,111,166,1,1,2026-02-18,2026-02-18,0,2,2,2.0,2,0.0,0,,,1,0,,United States,2,AppStore,,51300.0,150.0,36900.0,150.0,11200.0,0.0,0.0,0.0,300.0,0.0,100.0,109905.0,1800.0,540.0,17
1075040075,922,2291,3213,8,15,2026-02-17,2026-03-03,0,5,5,0.625,5,0.0,0,,,1,1,Marechal,Viet Nam,1,Google,Facebook Ads,1315494.0,1306694.0,1312958.0,1304158.0,823248.0,823248.0,0.0,0.0,800.0,800.0,379.0,3806290.0,3490717.0,6240.0,59
1077683625,8,92,100,1,1,2026-02-17,2026-02-17,0,0,0,0.0,0,0.0,0,,,1,0,,Spain,1,Google,,2500.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,5554.0,0.0,120.0,23
1077837015,76,523,599,1,1,2026-02-17,2026-02-17,0,2,2,2.0,2,0.0,0,,,1,0,,Indonesia,1,Google,,52800.0,170.0,38400.0,170.0,12400.0,0.0,0.0,0.0,300.0,0.0,150.0,114205.0,10140.0,480.0,29
1078803822,826,2140,2966,10,14,2026-02-18,2026-03-03,0,4,4,0.4,4,0.0,0,,,1,0,,Viet Nam,1,Google,Facebook Ads,2107460.0,2060660.0,1031057.0,999257.0,440840.0,440840.0,0.0,0.0,1340.0,0.0,1170.0,4724866.0,3656992.0,2940.0,51
1080327015,1872,3928,5800,12,7,2026-02-17,2026-02-23,0,6,6,0.5,6,0.0,0,,,1,1,ELITEBRASILEIRA,Brazil,2,AppStore,organic,2964830.0,1002881.0,2862406.0,963810.0,1561515.0,1561515.0,75300.0,9500.0,3510.0,42.0,968.0,9045612.0,4034915.0,8280.0,66
1080468838,1670,4014,5684,18,60,2026-02-18,2026-04-18,0,6,6,0.3333333333333333,6,0.0,0,,,1,0,,Philippines,1,Google,Facebook Ads,2774712.0,367300.0,2684611.0,367300.0,1224099.0,198000.0,99300.0,10800.0,1520.0,0.0,910.0,9867366.0,1538734.0,14400.0,66
1080688475,1142,2547,3689,10,1,2026-02-19,2026-02-19,0,5,5,0.5,5,0.0,0,,,1,1,ARCADIA,Mexico,1,Google,Facebook Ads,1257958.0,188915.0,1213425.0,158165.0,560192.0,18000.0,6000.0,0.0,910.0,0.0,910.0,3506488.0,572608.0,4980.0,55
1080856206,3885,7276,11161,12,12,2026-02-16,2026-02-27,0,9,9,0.75,9,0.0,0,,,2,1,Ventobravo,Saudi Arabia,1,Google,Facebook Ads,12415170.0,4781285.0,12190364.0,4568210.0,8476718.0,3232830.0,3669340.0,596270.0,4685.0,500.0,1265.0,43213264.0,15783414.0,14700.0,71
1081308097,662,1872,2534,5,1,2026-02-17,2026-02-17,0,4,4,0.8,4,0.0,0,,,1,1,NeverGiveUp,Philippines,1,Google,Facebook Ads,739322.0,21785.0,722208.0,17035.0,433012.0,0.0,0.0,0.0,1000.0,42.0,738.25,2133478.0,163760.0,3840.0,57
1085972161,64,537,601,2,4,2026-02-19,2026-02-22,0,2,2,1.0,2,0.0,0,,,1,0,,Viet Nam,1,Google,Facebook Ads,52800.0,160.0,38400.0,160.0,12400.0,0.0,0.0,0.0,300.0,0.0,100.0,114155.0,4920.0,1020.0,29
1089844158,1859,3589,5448,8,2,2026-02-17,2026-02-18,0,6,6,0.75,6,0.0,0,,,2,1,SHADOWGARDIAN072114,Australia,1,Google,Facebook Ads,1731195.0,600715.0,1661269.0,576665.0,736248.0,246400.0,98000.0,47000.0,3140.0,3111.0,1074.0,6422378.0,2268611.0,4380.0,60
1090070239,4629,10564,15193,20,9,2026-02-16,2026-02-24,0,9,9,0.45,9,0.0,0,,,1,1,Thailand888,Thailand,1,Google,Facebook Ads,15841395.0,8749607.0,15810029.0,8661181.0,11133120.0,5596952.0,4497390.0,686472.0,2800.0,1899.0,524.0,56148612.0,29290284.0,18780.0,77
1092975156,6,69,75,1,1,2026-02-17,2026-02-17,0,0,0,0.0,0,0.0,0,,,1,0,,Spain,1,Google,,2500.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5054.0,0.0,44.0,17
