订单号,箱号,箱子类型,原材料号,单位,时间
1,SE3V RIXA11,E3,B6T0000001209,箱,2026/6/5 21:50
2,SE3V DPG8SB,E3,B6T0000001209,箱,2026/6/5 21:50
3,SE3V I4Q2Y9,E3,B6T0000001209,箱,2026/6/5 21:50
4,SE3V V86WZS,E3,B6T0000001209,箱,2026/6/5 21:50
5,SE3V 3T60RJ,E3,B6T0000001209,箱,2026/6/5 21:50
6,SE3V IW1SWJ,E3,B6T0000001209,箱,2026/6/5 21:50
7,SE3V CKJLTE,E3,B6T0000001209,箱,2026/6/5 21:50
8,SE3V IYZCOT,E3,B6T0000001209,箱,2026/6/5 21:50
9,SE3V OHP6VZ,E3,B6T0000001209,箱,2026/6/5 21:50
10,SE3V 41NAM1,E3,B6T0000001209,箱,2026/6/5 21:50
11,SE3V 48P0TV,E3,B6T0000001209,箱,2026/6/5 21:50
12,SE3V HHPBMY,E3,B6T0000001209,箱,2026/6/5 21:50
13,SE3V 0479T6,E3,B6T0000001209,箱,2026/6/6 6:45
14,SE3V VXDP5G,E3,B6T0000001209,箱,2026/6/6 6:45
15,SE3V JLQM5K,E3,B6T0000001209,箱,2026/6/6 6:45
16,SE3V 8P4Q0B,E3,B6T0000001209,箱,2026/6/6 6:45
17,SE3V 8IC8BB,E3,B6T0000001209,箱,2026/6/6 6:45
18,SE3V I4WIRE,E3,B6T0000001209,箱,2026/6/6 6:45
19,SE3V 8QJNV8,E3,B6T0000001209,箱,2026/6/6 6:45
20,SE3V Z2FLU7,E3,B6T0000001209,箱,2026/6/6 6:45
21,SE3V U6N7HV,E3,B6T0000001209,箱,2026/6/6 6:45
22,SE3V 3IZKY2,E3,B6T0000001209,箱,2026/6/6 6:45
23,SE3V 2UBTXC,E3,B6T0000001209,箱,2026/6/6 6:45
24,SE3V XAPRPN,E3,B6T0000001209,箱,2026/6/6 6:45
25,SE3V 6QFGSX,E3,B6T0000001209,箱,2026/6/6 6:45
26,SE3V W71Q3V,E3,B6T0000001209,箱,2026/6/6 6:45
27,SE3V LI7KQ1,E3,B6T0000001209,箱,2026/6/6 6:45
28,SE3V UYMRLR,E3,B6T0000001209,箱,2026/6/6 6:45
29,SE3V MJKV5U,E3,B6T0000001209,箱,2026/6/6 6:45
30,SE3V R1YXR2,E3,B6T0000001104,箱,2026/6/6 6:22
31,SE3V DHYLUR,E3,B6T0000001104,箱,2026/6/6 6:22
32,SE3V TP0LZJ,E3,B6T0000001104,箱,2026/6/6 6:22
33,SE3V JEGET1,E3,B6T0000001104,箱,2026/6/6 6:22
34,SE3V G0JV1V,E3,B6T0000001104,箱,2026/6/3 11:55
35,SE3V 93KMKZ,E3,B6T0000001104,箱,2026/6/3 11:55
36,SE3V J9TZE5,E3,B6T0000001104,箱,2026/6/2 18:52
37,SE3V R5UQPG,E3,B6T0000001104,箱,2026/6/2 18:52
38,SE3V B7R3OC,E3,B6T0000001104,箱,2026/6/2 18:52
39,SE3V WBFUK9,E3,B6T0000001104,箱,2026/6/2 18:52
40,SE3V UOVW1N,E3,B6T0000001104,箱,2026/6/2 16:30
41,SE3V 6KVPUC,E3,B6T0000001104,箱,2026/6/2 16:30
42,SE3V 8D1WJC,E3,B6T0000001104,箱,2026/6/2 16:30
43,SE3V ITFOYQ,E3,B6T0000001104,箱,2026/6/2 16:30
44,SE3V BKK4CI,E3,B6T0000001104,箱,2026/6/2 16:30
45,SE3V J2V2HE,E3,B6T0000001104,箱,2026/6/2 16:30
46,SE3V IFJFC2,E3,B6T0000001104,箱,2026/6/2 16:30
47,SE3V V37PQK,E3,B6T0000001104,箱,2026/6/2 16:30
48,SE3V OJTPV6,E3,B6T0000001104,箱,2026/6/2 16:30
49,SE3V 0VAIY4,E3,B6T0000001104,箱,2026/6/2 16:30
50,SE3V VA13U1,E3,B6T0000001104,箱,2026/6/2 16:30
51,SE3V GSPK9P,E3,B6T0000001104,箱,2026/6/2 16:30
52,SE3V 38QOLD,E3,B6T0000001104,箱,2026/6/2 16:30
53,SE3V FORXO1,E3,B6T0000001104,箱,2026/6/2 16:30
54,SE3V BDJE15,E3,B6T0000001104,箱,2026/6/2 16:30
55,SE3V 3A5QBS,E3,B6T0000001104,箱,2026/6/2 16:30
56,SE3V WRPBJE,E3,B6T0000001104,箱,2026/6/2 16:30
57,SE3V K5RBW2,E3,B6T0000001104,箱,2026/6/2 16:30
58,SE3V ZLAOI4,E3,B6T0000001104,箱,2026/6/2 16:30
59,SE1V QE3RZS,E1,B6T0000001664,箱,2026/6/2 15:02
60,SE1V J49ITN,E1,B6T0000001664,箱,2026/6/2 15:02
61,SE1V 7S55J2,E1,B6T0000001664,箱,2026/6/2 15:02
62,SE1V O7S3KK,E1,B6T0000001664,箱,2026/6/2 15:02
63,SE1V V9RFTM,E1,B6T0000001664,箱,2026/6/2 15:02
64,SE1V TTQLGZ,E1,B6T0000001664,箱,2026/6/2 15:02
65,SE1V UI1B0Z,E1,B6T0000001664,箱,2026/6/2 15:02
66,SE1V 3NX39R,E1,B6T0000001664,箱,2026/6/2 15:02
67,SE1V BSV55P,E1,B6T0000001664,箱,2026/6/2 15:02
68,SE4V OXFQ8M,E4,B6T0000000261,箱,2026/6/2 21:59
69,SE4V YX444N,E4,B6T0000000261,箱,2026/6/2 21:59
70,SE4V LZ15BC,E4,B6T0000000261,箱,2026/6/2 21:59
71,SE4V W790PD,E4,B6T0000000261,箱,2026/6/2 21:59
72,SE4V W5PY6B,E4,B6T0000000261,箱,2026/6/2 21:59
73,SE4V 2KNFTU,E4,B6T0000000261,箱,2026/6/2 21:59
74,SE4V 2GC5WI,E4,B6T0000000261,箱,2026/6/2 21:59
75,SE4V 6FQJJA,E4,B6T0000000261,箱,2026/6/2 21:59
